Total Amt,Fee Surcharge Type 1,Fee Type Charges 1,Fee Surcharge Type 2,Fee Type Charges 2,Fee Surcharge Type 3,Fee Type Charges 3,Fee Surcharge Type 4,Fee Type Charges 4,Fee Surcharge Type 5,Fee Type Charges 5,Merchant Name,Merchant Number,Invoice Date,Invoice Number,Warehouse Name,Order Number,Order Date,Drop Ship Name,Shipment ID,No. of Pkgs,Received Date,Tracking Number,Pkg Reference,Dim Weight,Weight,Height,Width,Length,No. of Pieces,"Contents (SKU-Qty,SKU-Qty)",Company,Address 1,Address 2,City,State,Postal Code,Country,Ship From Zip,Zone,Carrier,Class of Service,Transmitted Shipping Method,Actual Shipping Method,Shipped Date,Fee Category,Ngs Postage Key,Fee Surcharge Type 6,Fee Type Charges 6,Fee Surcharge Type 7,Fee Type Charges 7,Fee Surcharge Type 8,Fee Type Charges 8,Fee Surcharge Type 9,Fee Type Charges 9,Fee Surcharge Type 10,Fee Type Charges 10
18.97,Base Fee,11.05,Fuel Surcharge,2.72,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",f9fa9c08-f0a7-47b5-aa5e-72253b23ac6c,10/8/24,,317917318,1,10/8/24,1ZH934F60300084150,1.57032E+14,9,3.98,9.4,10.2,12.75,1,"900-00096,1,900-00150,1,900-00169,1,900-00190,1,900-00230,1,900-00338,1,900-00401,1",,,,,,91724,US,41048,8,UPS,GND,UPS Ground,UPS Ground,10/8/24,Postage,178328780,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",3f276433-0cb1-43e1-aa74-a50baa35a291,10/11/24,,318013906,1,10/11/24,9.40011E+21,1.57032E+14,,0.06,6,2,9,1,"900-00284,1",,,,,,95075,US,41048,8,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/11/24,Postage,178358265,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",0f06739f-0ed5-49be-b443-fa3367ff7c8a,9/20/24,,316842606,1,9/20/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,37421,US,41048,3,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328258,,,,,,,,,,
23.5,Base Fee,10.13,Extended Area Charge,4.8,Fuel Surcharge,3.37,Residential Charge,5.2,,,Quip,2731,,,"Hebron, KY",,,,317775166,,,1ZH934F60300083928,1.57032E+14,9,5.98,9.4,10.2,12.75,,",",,,,,,17751,US,,4,,,,,10/8/24,Postage,178328737,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311045450,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,19320,US,,4,,,,,6/24/24,Postage,178327906,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311010336,,,2.71202E+17,1.57031E+14,,0.13,5.63,0.75,10.5,,",",,,,,,93036,US,,8,,,,,6/24/24,Postage,178328097,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311002212,,,2.71202E+17,1.57031E+14,,0.13,5.63,0.75,10.5,,",",,,,,,93704,US,,8,,,,,6/24/24,Postage,178328112,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",c003750a-eb27-467c-9332-2c7bba403721,10/14/24,,318295068,1,10/14/24,9.40551E+21,1.57032E+14,,0.04,6,2,9,1,"900-00102,1",,,,,,28390,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/15/24,Postage,178458633,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310967660,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,19107,US,,4,,,,,6/24/24,Postage,178327840,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",70c2d417-775d-472e-8f10-dacf920e0f91,9/20/24,,316869906,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,96789,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328306,,,,,,,,,,
11.68,Base Fee,11.68,,,,,,,,,Quip,2731,,,"Hebron, KY",ce2791a6-0162-4238-a33b-df72c96a0dad,10/18/24,,318860146,1,10/18/24,9.40551E+21,1.57032E+14,,0.04,6,2,9,1,"900-00102,1",,,,,,93245,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/18/24,Postage,178512663,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",64246e51-0d0b-4090-b9d8-af5f7d594328,9/20/24,,316842492,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,30328,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328167,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",a7cd83f3-5dd6-4532-8d1c-1a96dbcda9d7,10/15/24,,318334194,1,10/15/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,27514,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464751,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311033790,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,85022,US,,7,,,,,6/24/24,Postage,178327936,,,,,,,,,,
6.37,Base Fee,6.37,,,,,,,,,Quip,2731,,,"Hebron, KY",2f89af65-57f8-46c9-bc3a-f4351c48af50,10/13/24,,318234030,1,10/13/24,9.40011E+21,1.57032E+14,,0.76,6,2,9,1,"200-00001,2,900-00102,1,900-00145,1,900-00190,2",,,,,,40524,US,41048,1,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178407228,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",aec80347-3c42-4798-badc-edbc33e5db2c,9/20/24,,316865056,1,9/20/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,60625,US,41048,3,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328274,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",0e2fe068-8b75-4104-925a-7ca38c5a4b8a,9/20/24,,316842776,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00098,1",,,,,,30024,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328280,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310970328,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,16046,US,,3,,,,,6/24/24,Postage,178327916,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",1cc0c5e4-8c1d-49ab-ba67-82fc912a4a08,9/20/24,,316842548,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,60657,US,41048,3,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328131,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",c87fe71a-ee44-4199-aa10-b8c5ddee4d1c,9/20/24,,316842792,1,9/20/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,35223,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328262,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",bd36b052-5352-47c0-8602-be1325f7d258,9/20/24,,316842484,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,11101,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328148,,,,,,,,,,
4.49,Base Fee,4.49,,,,,,,,,Quip,2731,,,"Hebron, KY",b4fc8a2d-1591-4efb-a9e0-eb3f285144d4,10/8/24,,317745316,1,10/8/24,9.40011E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00142,1,900-00190,1",,,,,,21767,US,41048,4,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/8/24,Postage,178328621,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",16ab38c8-95df-4e4f-bb08-7f12d362faa9,9/20/24,,316842322,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,77706,US,41048,5,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328207,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310969056,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,10005,US,,4,,,,,6/24/24,Postage,178327868,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311007914,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,27104,US,,3,,,,,6/24/24,Postage,178327976,,,,,,,,,,
3.97,Base Fee,3.97,,,,,,,,,Quip,2731,,,"Hebron, KY",0de88f05-6287-4d64-97d7-5c52c0e58a17,10/17/24,,318538580,1,10/17/24,9.40011E+21,1.57032E+14,,0.08,6,2,9,1,"900-00213,1",,,,,,96377,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/17/24,Postage,178495811,,,,,,,,,,
3.97,Base Fee,3.97,,,,,,,,,Quip,2731,,,"Hebron, KY",f23c1bc1-a0ff-4d43-8b59-70678cf271ec,10/12/24,,318198496,1,10/12/24,9.40011E+21,1.57032E+14,,0.06,6,2,9,1,"900-00283,1",,,,,,9464,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178404298,,,,,,,,,,
3.97,Base Fee,3.97,,,,,,,,,Quip,2731,,,"Hebron, KY",027e4902-a457-45a4-8050-fc63926c8f23,10/17/24,,318535914,1,10/17/24,9.40011E+21,1.57032E+14,,0.13,6,2,9,1,"200-00001,2,900-00109,1,900-00180,1",,,,,,96377,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/17/24,Postage,178494878,,,,,,,,,,
4.15,Base Fee,4.15,,,,,,,,,Quip,2731,,,"Hebron, KY",9a2a50f5-41d4-4579-8656-f695cd80450d,10/18/24,,318812736,1,10/18/24,9.40011E+21,1.57032E+14,,0.06,6,2,9,1,"900-00214,1",,,,,,77842,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/18/24,Postage,178508245,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",3672f9bb-de6a-40e4-bb87-1d228fb39895,10/15/24,,318307954,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,45213,US,41048,1,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464654,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",a14500e9-c2ae-4963-910f-2a26e5eeb0fe,9/19/24,,316833210,1,9/19/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,10704,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328200,,,,,,,,,,
4.42,Base Fee,4.42,,,,,,,,,Quip,2731,,,"Hebron, KY",040428ed-4f59-483c-9517-40c2eda7ef88,10/18/24,,318812734,1,10/18/24,9.40011E+21,1.57032E+14,,0.39,6,2,9,1,"200-00001,1,900-00109,1,900-00190,1",,,,,,9902,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/18/24,Postage,178509622,,,,,,,,,,
10.88,Base Fee,10.88,,,,,,,,,Quip,2731,,,"Hebron, KY",3224d927-d770-4ca2-befa-28e06f319ca0,10/16/24,,318374070,1,10/16/24,9.40551E+21,1.57032E+14,,0.34,6,2,9,1,"900-00190,1",,,,,,85345,US,41048,7,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/17/24,Postage,178487906,,,,,,,,,,
10.14,Base Fee,10.14,,,,,,,,,Quip,2731,,,"Hebron, KY",30ba96e3-6548-4f8e-b4ef-d0a558be18dc,10/16/24,,318367066,1,10/16/24,9.40551E+21,1.57032E+14,,1.42,8.3,4.1,13.2,1,"900-00402,1",,,,,,30116,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178482323,,,,,,,,,,
3.97,Base Fee,3.97,,,,,,,,,Quip,2731,,,"Hebron, KY",c150e9ac-ecc6-4d1e-b27a-16543a8ac032,10/14/24,,318269888,1,10/14/24,9.40011E+21,1.57032E+14,,0.21,6,2,12,1,"900-00338,1",,,,,,29681,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178457731,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",55f319f9-e8c7-4a9b-9fc1-1c563a21acf5,10/16/24,,318340708,1,10/16/24,9.40011E+21,1.57032E+14,,0.08,6,2,9,1,"200-00001,1,900-00121,1",,,,,,59920,US,41048,7,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/16/24,Postage,178475290,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",f269a1a2-7bb4-4db2-9086-e9981dae8b29,9/20/24,,316842472,1,9/20/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,1527,US,41048,5,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328270,,,,,,,,,,
8.39,Base Fee,8.39,,,,,,,,,Quip,2731,,,"Hebron, KY",0e8bbc93-e80a-46df-b4da-c1cdba5ec8c4,10/11/24,,318039054,1,10/11/24,9.40551E+21,1.57032E+14,,0.07,6,2,9,1,"200-00001,1,900-00102,1",,,,,,46307,US,41048,3,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/11/24,Postage,178363543,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",6fcf455b-3edb-49f1-8e0d-fa7e8cb213ad,10/15/24,,318337060,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,30317,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/16/24,Postage,178479817,,,,,,,,,,
4.42,Base Fee,4.42,,,,,,,,,Quip,2731,,,"Hebron, KY",09d4dc2f-4019-40d3-bf07-f5a0d0c758ba,10/15/24,,318304856,1,10/15/24,9.40011E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00109,1,900-00190,1",,,,,,9053,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178452966,,,,,,,,,,
18.97,Base Fee,11.05,Fuel Surcharge,2.72,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",,,,317774856,,,1ZH934F60300083919,1.57032E+14,9,5.98,9.4,10.2,12.75,,",",,,,,,92107,US,,8,,,,,10/8/24,Postage,178328736,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311051394,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,11552,US,,4,,,,,6/24/24,Postage,178328020,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",097672c5-14cf-4366-9fd7-54776d54dada,9/19/24,,316833278,1,9/19/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,1503,US,41048,5,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328188,,,,,,,,,,
6.63,Base Fee,6.63,,,,,,,,,Quip,2731,,,"Hebron, KY",a118d31d-8b07-4747-996e-cc62c37a3e8b,10/13/24,,318231426,1,10/13/24,9.40011E+21,1.57032E+14,,0.77,6,2,9,1,"200-00001,2,900-00102,1,900-00110,1,900-00190,1,900-00191,1,900-00213,1",,,,,,18074,US,41048,4,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178400830,,,,,,,,,,
9.78,Base Fee,9.78,,,,,,,,,Quip,2731,,,"Hebron, KY",c72dfeaa-121a-4dd1-a467-907209b7cdeb,10/12/24,,318194392,1,10/12/24,9.40551E+21,1.57032E+14,,0.07,6,2,9,1,"900-00109,1,900-00180,1",,,,,,34010,US,41048,5,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/14/24,Postage,178378880,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310973684,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,73030,US,,5,,,,,6/24/24,Postage,178327910,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",1e12b2dc-69a2-4338-9177-9a13f15fb376,10/10/24,,318006562,1,10/10/24,9.40551E+21,1.57032E+14,,0.11,6,2,9,1,"200-00001,1,900-00102,1",,,,,,21795,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/11/24,Postage,178362920,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",c1c4ddb0-7d45-4f95-bcf5-22bcc78033a0,10/15/24,,318334264,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,84606,US,41048,7,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464685,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",8fac9a1e-b951-4c8f-8fb7-da60b08fbfa8,9/19/24,,316864798,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,92082,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328249,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",8aa2f18d-125d-4475-bcf6-4011f45d760b,10/15/24,,318307894,1,10/15/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,92646,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464766,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",99574e37-ea74-4c34-8a76-6e4ceecc044d,10/15/24,,318307920,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,60643,US,41048,3,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464690,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",48e8fb16-4328-48fe-bebe-cdc6c3d47d88,10/12/24,,318197738,1,10/12/24,9.40011E+21,1.57032E+14,,0.1,6,2,9,1,"900-00180,1,920-00248,1",,,,,,99687,US,41048,8,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178392040,,,,,,,,,,
4.15,Base Fee,4.15,,,,,,,,,Quip,2731,,,"Hebron, KY",f1bd10a7-cdc5-4e66-9371-9bd7b6ba2003,10/12/24,,318195234,1,10/12/24,9.40011E+21,1.57032E+14,,0.07,6,2,9,1,"200-00001,1",,,,,,12957,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178405989,,,,,,,,,,
6.63,Base Fee,6.63,,,,,,,,,Quip,2731,,,"Hebron, KY",7bb9f837-983c-4995-9366-4fabc3734df1,10/16/24,,318344970,1,10/16/24,9.40011E+21,1.57032E+14,,0.76,6,2,9,1,"200-00001,2,900-00102,1,900-00110,1,900-00190,1,900-00191,1",,,,,,7042,US,41048,4,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/16/24,Postage,178481946,,,,,,,,,,
4.04,Base Fee,4.04,,,,,,,,,Quip,2731,,,"Hebron, KY",bf6ba964-7591-4e9f-831f-e90476cc7b78,10/15/24,,318307076,1,10/15/24,9.40011E+21,1.57032E+14,,0.13,6,2,9,1,"200-00001,2,900-00109,1,900-00145,1",,,,,,66092,US,41048,4,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178461687,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310995300,,,2.71202E+17,1.57031E+14,,0.15,5.63,0.75,10.5,,",",,,,,,11109,US,,4,,,,,6/24/24,Postage,178328061,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311075244,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,28056,US,,3,,,,,6/24/24,Postage,178327995,,,,,,,,,,
4.31,Base Fee,4.31,,,,,,,,,Quip,2731,,,"Hebron, KY",8b04da29-c18b-4ba7-bd1a-361e7634aaf2,10/17/24,,318538044,1,10/17/24,9.40011E+21,1.57032E+14,,0.08,6,2,9,1,"200-00001,1,900-00145,1",,,,,,81631,US,41048,6,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/17/24,Postage,178494186,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311044850,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,19341,US,,4,,,,,6/24/24,Postage,178327854,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",f2b7f866-073d-413c-baa8-cc69dda894e5,10/15/24,,318338134,1,10/15/24,9.40551E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00102,1,900-00190,1",,,,,,30310,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178466980,,,,,,,,,,
8.39,Base Fee,8.39,,,,,,,,,Quip,2731,,,"Hebron, KY",5d3db9e2-10de-4370-8d87-fdd1ff4ef1e8,10/11/24,,318192684,1,10/11/24,9.40551E+21,1.57032E+14,,0.38,6,2,9,1,"900-00102,2,900-00190,1",,,,,,60487,US,41048,3,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/14/24,Postage,178377181,,,,,,,,,,
4.31,Base Fee,4.31,,,,,,,,,Quip,2731,,,"Hebron, KY",84b607e2-fa53-45e2-8363-e6f1267236c8,10/14/24,,318263592,1,10/14/24,9.40011E+21,1.57032E+14,,0.07,6,2,9,1,"200-00001,1,900-00109,1",,,,,,79009,US,41048,6,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178393960,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",08f07015-9961-4de6-b053-4ba84738a3c9,10/11/24,,318011648,1,10/11/24,9.40011E+21,1.57032E+14,,0.06,6,2,9,1,"900-00121,1",,,,,,717,US,41048,7,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/11/24,Postage,178360857,,,,,,,,,,
21.99,Base Fee,13.07,Fuel Surcharge,3.07,Residential Charge,5.85,,,,,Quip,2731,,,"Hebron, KY",f8336431-99f1-4c5e-8481-803a6ba8ca2b,10/11/24,,318037588,1,10/11/24,1ZH934F60200088087,1.57032E+14,3,2.66,4.1,8.3,13.2,1,"900-00170,2,900-00174,2,900-00211,2,900-00338,6",,,,,,60304,US,41048,203,UPS,SDA,UPS 2nd Day Air,UPS 2nd Day Air,10/11/24,Postage,178363295,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",f42c616b-28da-477c-9fd0-d8574516720c,10/14/24,,318294602,1,10/14/24,9.40551E+21,1.57032E+14,,0.04,6,2,9,1,"900-00102,1",,,,,,20155,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/15/24,Postage,178454052,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310969832,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,18707,US,,4,,,,,6/24/24,Postage,178327893,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",47175659-cea5-4dc4-ac6f-64e798dd46b4,10/15/24,,318308024,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00098,1",,,,,,93001,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464800,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",f43b168e-4e31-40a4-a28e-234d3ba96c47,10/14/24,,318333440,1,10/15/24,9.40551E+21,1.57032E+14,,0.07,6,2,9,1,"200-00001,1,900-00109,1",,,,,,18066,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/15/24,Postage,178461102,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",0e473675-9be0-4c90-850f-a403e5c33950,9/20/24,,316842762,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,91763,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328214,,,,,,,,,,
11.68,Base Fee,11.68,,,,,,,,,Quip,2731,,,"Hebron, KY",c275ee6f-c607-4648-97dd-7990439473f4,10/14/24,,318296832,1,10/14/24,9.40551E+21,1.57032E+14,,0.06,6,2,9,1,"200-00001,1",,,,,,92025,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/15/24,Postage,178463581,,,,,,,,,,
