Total Amt,Fee Surcharge Type 1,Fee Type Charges 1,Fee Surcharge Type 2,Fee Type Charges 2,Fee Surcharge Type 3,Fee Type Charges 3,Fee Surcharge Type 4,Fee Type Charges 4,Fee Surcharge Type 5,Fee Type Charges 5,Merchant Name,Merchant Number,Invoice Date,Invoice Number,Warehouse Name,Order Number,Order Date,Drop Ship Name,Shipment ID,No. of Pkgs,Received Date,Tracking Number,Pkg Reference,Dim Weight,Weight,Height,Width,Length,No. of Pieces,"Contents (SKU-Qty,SKU-Qty)",Company,Address 1,Address 2,City,State,Postal Code,Country,Ship From Zip,Zone,Carrier,Class of Service,Transmitted Shipping Method,Actual Shipping Method,Shipped Date,Fee Category,Ngs Postage Key,Fee Surcharge Type 6,Fee Type Charges 6,Fee Surcharge Type 7,Fee Type Charges 7,Fee Surcharge Type 8,Fee Type Charges 8,Fee Surcharge Type 9,Fee Type Charges 9,Fee Surcharge Type 10,Fee Type Charges 10
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",9e3f03af-7fd0-4305-bdd2-8b9275fa5e9d,9/20/24,,316842516,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,45202,US,41048,1,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328208,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",2d951f3d-7237-4a30-9a8f-9e45fe67eb5f,10/12/24,,318197758,1,10/12/24,9.40011E+21,1.57032E+14,,0.09,6,2,9,1,"900-00407,3",,,,,,93556,US,41048,8,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178391755,,,,,,,,,,
17.9,Base Fee,10.13,Fuel Surcharge,2.57,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",d5e8ef6a-f950-4616-b1fc-ccdf121f18fc,10/15/24,,318338378,2,10/16/24,1ZH934F60300095602,1.57032E+14,,4.54,6,7,9,2,"930-00003,1",,,,,,89156,US,41048,7,UPS,GND,UPS Ground,UPS Ground,10/17/24,Postage,178493989,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",47c0d418-ee22-41f2-8eb0-712581a9a914,10/15/24,,318336438,1,10/15/24,9.40551E+21,1.57032E+14,,0.09,6,2,9,1,"200-00001,2",,,,,,19103,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178472904,,,,,,,,,,
19.51,Base Fee,19.51,,,,,,,,,Quip,2731,,,"Hebron, KY",d6f2c330-483a-4983-a01d-f429640f999b,10/15/24,,318335140,1,10/15/24,9.40551E+21,1.57032E+14,,1.42,8.3,4.1,13.2,1,"900-00403,1",,,,,,89511,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/15/24,Postage,178464300,,,,,,,,,,
17.8,Base Fee,10.05,Fuel Surcharge,2.55,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",,,,318036566,,,1ZH934F60300087406,1.57032E+14,6,3.1,7.4,9.4,13.3,,",",,,,,,60137,US,,3,,,,,10/11/24,Postage,178355862,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311041892,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,40515,US,,1,,,,,6/24/24,Postage,178327993,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",d5ff7e74-0320-47d1-9c25-5c63ffa4b5fd,10/15/24,,318307802,1,10/15/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,98115,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464688,,,,,,,,,,
11.68,Base Fee,11.68,,,,,,,,,Quip,2731,,,"Hebron, KY",cd16829d-e6d9-4bde-9978-76bbc819897d,10/10/24,,318005004,1,10/10/24,9.40551E+21,1.57032E+14,,0.06,6,2,9,1,"200-00001,1,900-00102,1",,,,,,91505,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/10/24,Postage,178345805,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",a6d61089-12ad-4229-b4c4-d477bf16adab,10/15/24,,318308002,1,10/15/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,22043,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464771,,,,,,,,,,
10.14,Base Fee,10.14,,,,,,,,,Quip,2731,,,"Hebron, KY",8455cdac-fd75-44e8-bfa6-7a018e5e2e57,10/16/24,,318369720,1,10/16/24,9.40551E+21,1.57032E+14,,1.42,8.3,4.1,13.2,1,"900-00404,1",,,,,,11216,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178482203,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310994980,,,2.71202E+17,1.57031E+14,,0.23,5.63,0.75,10.5,,",",,,,,,60137,US,,4,,,,,6/24/24,Postage,178328034,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311009552,,,2.71202E+17,1.57031E+14,,0.18,5.63,0.75,10.5,,",",,,,,,11570,US,,4,,,,,6/24/24,Postage,178327887,,,,,,,,,,
17.9,Base Fee,10.13,Fuel Surcharge,2.57,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",,,,317775218,,,1ZH934F60300083937,1.57032E+14,9,5.98,9.4,10.2,12.75,,",",,,,,,80212,US,,6,,,,,10/8/24,Postage,178328738,,,,,,,,,,
11.68,Base Fee,11.68,,,,,,,,,Quip,2731,,,"Hebron, KY",6ee8e8ac-b4e6-4fbb-9604-b1c535df55ea,10/15/24,,318336924,1,10/15/24,9.40551E+21,1.57032E+14,,0.49,6,2,12,1,"900-00005,1,900-00008,1",,,,,,98851,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178474299,,,,,,,,,,
4.15,Base Fee,4.15,,,,,,,,,Quip,2731,,,"Hebron, KY",75648ad5-6161-4452-be25-976a7ce220c8,10/11/24,,318011362,1,10/11/24,9.40011E+21,1.57032E+14,,0.06,6,2,9,1,"900-00102,1",,,,,,70361,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/11/24,Postage,178357394,,,,,,,,,,
33.29,Base Fee,23.31,Fuel Surcharge,4.78,Residential Charge,5.2,,,,,Quip,2731,,,"Hebron, KY",44e27704-3b9f-4097-a96e-4f10da4fa506,10/8/24,,317744616,1,10/8/24,1ZH934F60300083866,1.57032E+14,3,2.4,4.1,8.3,13.2,1,"900-00230,1,900-00403,1",,,,,,96797,US,41048,44,UPS,GND,UPS Ground,UPS Ground,10/8/24,Postage,178328716,,,,,,,,,,
1.25,Base Fee,1.25,,,,,,,,,Quip,2731,,,"Hebron, KY",2d8455d0-cfc8-4842-b091-12a96af21640,10/15/24,,318307840,1,10/15/24,2.71202E+17,1.57032E+14,,0.11,5.63,0.75,10.5,1,"920-00069,1",,,,,,27703,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464794,,,,,,,,,,
4.31,Base Fee,4.31,,,,,,,,,Quip,2731,,,"Hebron, KY",4ec72a3f-b04c-4010-a440-57be23b3c410,10/15/24,,318306010,1,10/15/24,9.40011E+21,1.57032E+14,,0.08,6,2,9,1,"200-00001,1,900-00180,1",,,,,,81637,US,41048,6,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178457803,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",9e3714ea-b1f7-4582-93d9-8bb4dbee3453,10/15/24,,318333752,1,10/15/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,24522,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,10/15/24,Postage,178464755,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",fec8dbcc-8b36-4759-965b-dd9de91d97af,9/20/24,,316870012,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,91107,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328312,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",eb80b418-18c7-4695-9912-485cc916635f,9/19/24,,316833244,1,9/19/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,94121,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328240,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",b79a1ca6-b46d-4182-9354-25c437f11cec,9/20/24,,316869526,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00098,1",,,,,,97078,US,41048,8,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328298,,,,,,,,,,
9.71,Base Fee,9.71,,,,,,,,,Quip,2731,,,"Hebron, KY",6fa1aee7-b0e2-46fb-ad90-308f8014060e,10/16/24,,318372960,1,10/16/24,9.40551E+21,1.57032E+14,,1.52,8.3,4.1,13.2,1,"900-00229,1",,,,,,15212,US,41048,3,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/16/24,Postage,178482076,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",3960e9be-3555-4e41-9144-b9d736cbc1bd,9/20/24,,316842496,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,14534,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328187,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",ee3ef24a-2c77-41ac-a1b1-7a79fb45f2c7,9/20/24,,316869936,1,9/20/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,11205,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328294,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",77c7dfd0-40f9-4df5-bf3d-c3a30f1cf633,9/20/24,,316869820,1,9/20/24,2.71202E+17,1.57032E+14,,0.23,5.63,0.75,10.5,1,"920-00060,1",,,,,,70001,US,41048,5,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328295,,,,,,,,,,
